SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,,,17/1/2018,18/1/2018,19/1/2018,20/1/2018,
,,,236332 האינטרנט של הדברים - טכנולוגיות ויישומים ,234123 מערכות הפעלה ,236200 עיבוד מידע סטטיסטי ,,
,,,236862 ייצוגים דלילים ויתירים ויישומיהם בעיבוד תמונות ואותות ,236602 נושאים מתקדמים במ"מ 2 ,236342 מבוא לאימות תוכנה ,,
,,,236524 פרויקט בביואינפורמטיקה ,104032 חשבון אינפיניטסימלי 2 מ',236601 נושאים מתקדמים במ"מ 1 ,,

21/1/2018,22/1/2018,23/1/2018,24/1/2018,25/1/2018,26/1/2018,27/1/2018,
236607 נושאים מתקדמים במ"מ 7 ,234118 ארגון ותכנות המחשב ,234125 אלגוריתמים נומריים ,234267 מבנה מחשבים ספרתיים ,236803 סמינר במדעי המחשב 3 ,234122 מבוא לתכנות מערכות ,,
234322 מערכות אחסון מידע ,234293 לוגיקה ותורת הקבוצות למדעי המחשב ,236350 הגנה במערכות מתוכנתות ,236861 ראיה חישובית גאומטרית ,236605 נושאים מתקדמים במ"מ 5 ,236349 פרויקט באבטחת מידע ,,
236381 פרויקט ב-וי.אל.אס.אי. ב' ,236351 מערכות מבוזרות ,104166 אלגברה א',236363 מערכות מסד נתונים ,236370 תכנות מקבילי ומבוזר ,234218 מבני נתונים 1 ,,

28/1/2018,29/1/2018,30/1/2018,31/1/2018,1/2/2018,2/2/2018,3/2/2018,
234145 מערכות ספרתיות ,236802 סמינר במדעי המחשב 2 ,236801 סמינר במדעי המחשב 1 ,236703 תכנות מונחה עצמים ,234112 מבוא למחשב - שפת סי ,234114 מבוא למדעי המחשב מ' ,,
236860 עיבוד תמונות דיגיטלי ,236604 נושאים מתקדמים במ"מ 4 ,234141 קומבינטוריקה למדעי המחשב ,236874 פרויקט בראיה ממוחשבת ,236334 מבוא לרשתות מחשבים ,114071 פיזיקה 1מ',,
236353 אוטומטים ושפות פורמליות ,94314 מודלים סטוכסטיים בחקר ביצועים,234311 פרויקט שנתי בהנדסת תוכנה-שלב א ,234319 שפות תכנות ,236873 ראיה ממוחשבת ,234313 פרויקט תעשיתי ,,

4/2/2018,5/2/2018,6/2/2018,7/2/2018,8/2/2018,9/2/2018,10/2/2018,
234117 מבוא למדעי המחשב ח' ,234247 אלגוריתמים 1 ,236805 סמינר במדעי המחשב 5 ,234127 מבוא למחשב בשפת מטלאב ,114074 פיזיקה 1פ',324033 אנגלית טכנית- מתקדמים ב',,
236499 פרויקט בחומות אש ,236343 תורת החישוביות ,236804 סמינר במדעי המחשב 4 ,236503 פרויקט תכנות מתקדם במדעי המחשב 1 ,104134 אלגברה מודרנית ח,236360 תורת הקומפילציה ,,
94313 מודלים דטרמניסטיים בחקר ביצועים,236371 פרויקט בתכנות מקבילי ומבוזר ,236754 פרויקט במערכות נבונות ,94323 מערכות דינמיות לינאריוות,234326 פרויקט בגרפיקה ממוחשבת ה' ,236757 פרויקט במערכות לומדות ,,

11/2/2018,12/2/2018,13/2/2018,14/2/2018,15/2/2018,16/2/2018,
236818 סמינר בביואינפורמטיקה ,236304 לוגיקה למדעי המחשב 2 ,236315 שיטות אלגבריות במדעי המחשב ,236826 סמינר במסדי נתונים ,236323 פרויקט בעיבוד נתונים מ ,234262 תכן לוגי ,
94423 מבוא לסטטיסטיקה,236309 מבוא לתורת הצפינה ,94412 הסתברות 1 מ',236313 תורת הסיבוכיות ,104031 חשבון אינפיניטסימלי 1 מ' ,236832 סמינר בתכנות מקבילי ,
236501 מבוא לבינה מלאכותית ,234325 גרפיקה ממוחשבת ,234329 פרויקט  בעיבוד וניתוח תמונות ,236508 קריפטוגרפיה וסיבוכיות ,236646 נושאים מתקדמים בתאוריה של מדעי המחשב ה ,236523 מבוא לביואינפורמטיקה ,
11/2/2018,12/2/2018,13/2/2018,14/2/2018,15/2/2018,16/2/2018,17/2/2018,
236818 סמינר בביואינפורמטיקה ,236304 לוגיקה למדעי המחשב 2 ,236315 שיטות אלגבריות במדעי המחשב ,236826 סמינר במסדי נתונים ,236323 פרויקט בעיבוד נתונים מ ,234262 תכן לוגי ,,
94423 מבוא לסטטיסטיקה,236309 מבוא לתורת הצפינה ,94412 הסתברות 1 מ',236313 תורת הסיבוכיות ,104031 חשבון אינפיניטסימלי 1 מ' ,236832 סמינר בתכנות מקבילי ,,
236501 מבוא לבינה מלאכותית ,234325 גרפיקה ממוחשבת ,234329 פרויקט  בעיבוד וניתוח תמונות ,236508 קריפטוגרפיה וסיבוכיות ,236646 נושאים מתקדמים בתאוריה של מדעי המחשב ה ,236523 מבוא לביואינפורמטיקה ,,

